ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,pid_1,pid_2
RL,59.51682471681186,13517,Pave,1,Lvl,AllPub,CulDSac,0,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,BrkFace,289.0,4,3,CBlock,3,3,0,6,533.0,1,0.0,192.0,725.0,GasA,5,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0,Attchd,1976.0,2,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,NONE,NONE,0,3,2010,WD ,130500,5,33
RL,43.0,11492,Pave,1,Lvl,AllPub,CulDSac,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,BrkFace,132.0,4,3,PConc,4,3,0,6,637.0,1,0.0,276.0,913.0,GasA,5,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3,Attchd,1997.0,2,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,NONE,NONE,0,4,2009,WD ,220000,5,31
RL,68.0,7922,Pave,0,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,0.0,3,4,CBlock,3,3,0,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,Detchd,1953.0,1,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,NONE,NONE,0,1,2010,WD ,109000,5,35
RL,73.0,9802,Pave,0,Lvl,AllPub,Inside,0,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,384.0,384.0,GasA,4,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0,BuiltIn,2007.0,3,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,NONE,NONE,0,4,2010,WD ,174000,9,16
RL,82.0,14235,Pave,1,Lvl,AllPub,Inside,0,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,None,0.0,3,3,PConc,2,4,0,1,0.0,1,0.0,676.0,676.0,GasA,3,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0,Detchd,1957.0,1,2.0,484.0,3,3,N,0,59,0,0,0,0,0,NONE,NONE,0,3,2010,WD ,138500,9,06
RL,137.0,16492,Pave,1,Lvl,AllPub,Corner,0,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,None,0.0,4,3,CBlock,3,3,0,5,247.0,3,713.0,557.0,1517.0,GasA,5,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4,Attchd,1966.0,3,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,NONE,NONE,0,6,2010,WD ,190000,5,35
RM,35.0,3675,Pave,0,Lvl,AllPub,Inside,0,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,82.0,3,3,PConc,4,3,3,6,547.0,1,0.0,0.0,547.0,GasA,4,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0,Basment,2005.0,3,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,NONE,NONE,0,6,2006,New,140000,9,08
RL,97.43253264642584,12160,Pave,1,Lvl,AllPub,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,BrkFace,180.0,3,3,CBlock,3,3,0,3,1000.0,1,0.0,188.0,1188.0,GasA,2,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1959.0,2,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,MnPrv,NONE,0,5,2010,COD,142000,5,35
RL,126.46197884527459,15783,Pave,0,Lvl,AllPub,Inside,0,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,3,292.0,1,0.0,632.0,924.0,GasA,3,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0,Detchd,1952.0,1,1.0,420.0,3,3,Y,0,324,0,0,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500,5,35
RL,70.0,11606,Pave,1,HLS,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,BrkFace,192.0,3,3,PConc,4,3,2,3,650.0,1,0.0,390.0,1040.0,GasA,3,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3,Attchd,1969.0,1,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,NONE,NONE,0,9,2007,WD ,135000,5,35
